Grupo de edad,Edad,Total,Hombre,Mujer,Area
30 a 34,33,18,4,14,rural_disperso
30 a 34,34,21,9,12,rural_disperso
30 a 34,Total grupo edad,105,43,62,rural_disperso
35 a 39,35,27,13,14,rural_disperso
35 a 39,36,16,10,6,rural_disperso
35 a 39,37,20,7,13,rural_disperso
35 a 39,38,27,14,13,rural_disperso
35 a 39,39,27,15,12,rural_disperso
35 a 39,Total grupo edad,117,59,58,rural_disperso
40 a 44,40,26,10,16,rural_disperso
40 a 44,41,25,16,9,rural_disperso
40 a 44,42,26,13,13,rural_disperso
40 a 44,43,16,6,10,rural_disperso
40 a 44,44,20,10,10,rural_disperso
40 a 44,Total grupo edad,113,55,58,rural_disperso
45 a 49,45,26,15,11,rural_disperso
45 a 49,46,20,13,7,rural_disperso
45 a 49,47,24,11,13,rural_disperso
45 a 49,48,23,13,10,rural_disperso
45 a 49,49,23,15,8,rural_disperso
45 a 49,Total grupo edad,116,67,49,rural_disperso
50 a 54,50,19,14,5,rural_disperso
50 a 54,51,22,9,13,rural_disperso
50 a 54,52,21,13,8,rural_disperso
50 a 54,53,24,7,17,rural_disperso
50 a 54,54,30,15,15,rural_disperso
50 a 54,Total grupo edad,116,58,58,rural_disperso
55 a 59,55,23,12,11,rural_disperso
55 a 59,56,15,12,3,rural_disperso
55 a 59,57,20,8,12,rural_disperso
55 a 59,58,18,11,7,rural_disperso
55 a 59,59,23,15,8,rural_disperso
55 a 59,Total grupo edad,99,58,41,rural_disperso
60 a 64,60,23,10,13,rural_disperso
60 a 64,61,18,11,7,rural_disperso
60 a 64,62,20,8,12,rural_disperso
60 a 64,63,23,10,13,rural_disperso
60 a 64,64,17,14,3,rural_disperso
60 a 64,Total grupo edad,101,53,48,rural_disperso
65 a 69,65,25,19,6,rural_disperso
65 a 69,66,14,11,3,rural_disperso
65 a 69,67,10,3,7,rural_disperso
65 a 69,68,15,7,8,rural_disperso
65 a 69,69,13,3,10,rural_disperso
65 a 69,Total grupo edad,77,43,34,rural_disperso
70 a 74,70,22,14,8,rural_disperso
70 a 74,71,10,6,4,rural_disperso
70 a 74,72,11,6,5,rural_disperso
70 a 74,73,8,2,6,rural_disperso
70 a 74,74,9,7,2,rural_disperso
70 a 74,Total grupo edad,60,35,25,rural_disperso
75 a 79,75,8,6,2,rural_disperso
75 a 79,76,4,1,3,rural_disperso
75 a 79,77,6,4,2,rural_disperso
75 a 79,78,5,2,3,rural_disperso
75 a 79,79,7,6,1,rural_disperso
75 a 79,Total grupo edad,30,19,11,rural_disperso
80 a 84,80,5,4,1,rural_disperso
80 a 84,81,1,1,0,rural_disperso
80 a 84,82,1,1,0,rural_disperso
80 a 84,83,6,4,2,rural_disperso
80 a 84,84,3,3,0,rural_disperso
80 a 84,Total grupo edad,16,13,3,rural_disperso
85 a 89,85,2,0,2,rural_disperso
85 a 89,86,3,2,1,rural_disperso
85 a 89,87,2,2,0,rural_disperso
85 a 89,88,1,1,0,rural_disperso
85 a 89,89,2,2,0,rural_disperso
85 a 89,Total grupo edad,10,7,3,rural_disperso
90 a 94,90,2,1,1,rural_disperso
90 a 94,91,1,1,0,rural_disperso
90 a 94,92,0,0,0,rural_disperso
90 a 94,93,0,0,0,rural_disperso
90 a 94,94,0,0,0,rural_disperso
90 a 94,Total grupo edad,3,2,1,rural_disperso
95 a 99,95,0,0,0,rural_disperso
95 a 99,96,0,0,0,rural_disperso
95 a 99,97,0,0,0,rural_disperso
95 a 99,98,0,0,0,rural_disperso
95 a 99,Total grupo edad,0,0,0,rural_disperso
100 a 104,101,0,0,0,rural_disperso
100 a 104,102,0,0,0,rural_disperso
100 a 104,103,0,0,0,rural_disperso
100 a 104,Total grupo edad,0,0,0,rural_disperso
