sexo,grupo_de_edad,si,no,sin_informacion_enfermedad_ultimos_30_dias,sin_informacion_servicio_de_salud_donde_acudieron,a_la_entidad_de_seguridad_social_en_salud_a_la_cual_esta_afliado(a),a_un_medico_particular,"a_un_boticario,farmaceuta,_droguista",a_terapias_alternativas,acudio_a_una_autoridad_indigena_espiritual,otro_medico_de_un_grupo_etnico,uso_remedios_caseros,se_autorreceto,no_hizo_nada,area
Mujeres,5-9 anios,5,52,0,0,2,0,0,0,0,0,2,1,0,rural_disperso
Mujeres,10-14 anios,6,68,0,0,4,1,1,0,0,0,0,0,0,rural_disperso
Mujeres,15-19 anios,4,78,0,0,4,0,0,0,0,0,0,0,0,rural_disperso
Mujeres,20-24 anios,2,64,0,0,1,0,1,0,0,0,0,0,0,rural_disperso
Mujeres,25-29 anios,5,44,0,0,1,3,1,0,0,0,0,0,0,rural_disperso
Mujeres,30-34 anios,1,61,0,0,0,1,0,0,0,0,0,0,0,rural_disperso
Mujeres,35-39 anios,3,55,0,0,2,0,0,0,0,0,1,0,0,rural_disperso
Mujeres,40-44 anios,8,50,0,0,4,0,1,0,0,0,0,3,0,rural_disperso
Mujeres,45-49 anios,7,41,1,0,6,0,1,0,0,0,0,0,0,rural_disperso
Mujeres,50-54 anios,6,51,1,0,5,0,1,0,0,0,0,0,0,rural_disperso
Mujeres,55-59 anios,8,33,0,0,6,0,0,0,0,0,2,0,0,rural_disperso
Mujeres,60-64 anios,4,44,0,0,3,0,1,0,0,0,0,0,0,rural_disperso
Mujeres,65-69 anios,7,27,0,0,4,1,2,0,0,0,0,0,0,rural_disperso
Mujeres,70-74 anios,2,23,0,0,2,0,0,0,0,0,0,0,0,rural_disperso
Mujeres,75-79 anios,3,8,0,0,3,0,0,0,0,0,0,0,0,rural_disperso
Mujeres,80-84 anios,0,3,0,0,0,0,0,0,0,0,0,0,0,rural_disperso
Mujeres,85 anios y mas,1,3,0,0,1,0,0,0,0,0,0,0,0,rural_disperso
