sexo,grupo_de_edad,si,no,sin_informacion_enfermedad_ultimos_30_dias,total_personas_que_tuvieron_alguna_enfermedad,sin_informacion_servicio_de_salud_donde_acudieron,a_la_entidad_de_seguridad_social_en_salud_a_la_cual_esta_afliado(a),a_un_medico_particular,"a_un_boticario,farmaceuta,_droguista",a_terapias_alternativas,acudio_a_una_autoridad_indigena_espiritual,otro_medico_de_un_grupo_etnico,uso_remedios_caseros,se_autorreceto,no_hizo_nada,area
Hombres,45-49 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,50-54 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,55-59 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,60-64 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,65-69 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,70-74 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,75-79 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,80-84 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Hombres,85 anios y mas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,0-4 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,5-9 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,10-14 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,15-19 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,20-24 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,25-29 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,30-34 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,35-39 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,40-44 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,45-49 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,50-54 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,55-59 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,60-64 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,65-69 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,70-74 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,75-79 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,80-84 anios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Mujeres,85 anios y mas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro_poblado
Total,Total,171,1585,5,171,0,125,15,16,0,0,0,9,6,0,rural_disperso
Total,0-4 anios,5,92,0,5,0,3,0,1,0,0,0,1,0,0,rural_disperso
Total,5-9 anios,9,113,0,9,0,5,0,1,0,0,0,2,1,0,rural_disperso
Total,10-14 anios,7,155,0,7,0,5,1,1,0,0,0,0,0,0,rural_disperso
Total,15-19 anios,9,178,0,9,0,7,1,0,0,0,0,1,0,0,rural_disperso
Total,20-24 anios,6,117,0,6,0,4,0,1,0,0,0,0,1,0,rural_disperso
Total,25-29 anios,17,90,0,17,0,6,7,2,0,0,0,2,0,0,rural_disperso
Total,30-34 anios,2,103,0,2,0,0,2,0,0,0,0,0,0,0,rural_disperso
Total,35-39 anios,6,110,1,6,0,5,0,0,0,0,0,1,0,0,rural_disperso
Total,40-44 anios,15,98,0,15,0,10,1,1,0,0,0,0,3,0,rural_disperso
Total,45-49 anios,19,96,1,19,0,18,0,1,0,0,0,0,0,0,rural_disperso
Total,50-54 anios,11,103,2,11,0,10,0,1,0,0,0,0,0,0,rural_disperso
Total,55-59 anios,15,84,0,15,0,11,0,1,0,0,0,2,1,0,rural_disperso
Total,60-64 anios,12,88,1,12,0,11,0,1,0,0,0,0,0,0,rural_disperso
Total,65-69 anios,14,63,0,14,0,10,1,3,0,0,0,0,0,0,rural_disperso
Total,70-74 anios,8,52,0,8,0,7,0,1,0,0,0,0,0,0,rural_disperso
Total,75-79 anios,8,22,0,8,0,7,0,1,0,0,0,0,0,0,rural_disperso
Total,80-84 anios,2,14,0,2,0,1,1,0,0,0,0,0,0,0,rural_disperso
Total,85 anios y mas,6,7,0,6,0,5,1,0,0,0,0,0,0,0,rural_disperso
Hombres,Total,97,829,3,97,0,77,9,6,0,0,0,3,2,0,rural_disperso
Hombres,0-4 anios,3,41,0,3,0,3,0,0,0,0,0,0,0,0,rural_disperso
Hombres,5-9 anios,4,61,0,4,0,3,0,1,0,0,0,0,0,0,rural_disperso
Hombres,10-14 anios,1,87,0,1,0,1,0,0,0,0,0,0,0,0,rural_disperso
Hombres,15-19 anios,5,100,0,5,0,3,1,0,0,0,0,1,0,0,rural_disperso
Hombres,20-24 anios,4,53,0,4,0,3,0,0,0,0,0,0,1,0,rural_disperso
Hombres,25-29 anios,12,46,0,12,0,5,4,1,0,0,0,2,0,0,rural_disperso
Hombres,30-34 anios,1,42,0,1,0,0,1,0,0,0,0,0,0,0,rural_disperso
Hombres,35-39 anios,3,55,1,3,0,3,0,0,0,0,0,0,0,0,rural_disperso
Hombres,40-44 anios,7,48,0,7,0,6,1,0,0,0,0,0,0,0,rural_disperso
Hombres,45-49 anios,12,55,0,12,0,12,0,0,0,0,0,0,0,0,rural_disperso
Hombres,50-54 anios,5,52,1,5,0,5,0,0,0,0,0,0,0,0,rural_disperso
Hombres,55-59 anios,7,51,0,7,0,5,0,1,0,0,0,0,1,0,rural_disperso
Hombres,60-64 anios,8,44,1,8,0,8,0,0,0,0,0,0,0,0,rural_disperso
Hombres,65-69 anios,7,36,0,7,0,6,0,1,0,0,0,0,0,0,rural_disperso
Hombres,70-74 anios,6,29,0,6,0,5,0,1,0,0,0,0,0,0,rural_disperso
Hombres,75-79 anios,5,14,0,5,0,4,0,1,0,0,0,0,0,0,rural_disperso
Hombres,80-84 anios,2,11,0,2,0,1,1,0,0,0,0,0,0,0,rural_disperso
Hombres,85 anios y mas,5,4,0,5,0,4,1,0,0,0,0,0,0,0,rural_disperso
Mujeres,Total,74,756,2,74,0,48,6,10,0,0,0,6,4,0,rural_disperso
Mujeres,0-4 anios,2,51,0,2,0,0,0,1,0,0,0,1,0,0,rural_disperso
Mujeres,5-9 anios,5,52,0,5,0,2,0,0,0,0,0,2,1,0,rural_disperso
Mujeres,10-14 anios,6,68,0,6,0,4,1,1,0,0,0,0,0,0,rural_disperso
Mujeres,15-19 anios,4,78,0,4,0,4,0,0,0,0,0,0,0,0,rural_disperso
Mujeres,20-24 anios,2,64,0,2,0,1,0,1,0,0,0,0,0,0,rural_disperso
Mujeres,25-29 anios,5,44,0,5,0,1,3,1,0,0,0,0,0,0,rural_disperso
Mujeres,30-34 anios,1,61,0,1,0,0,1,0,0,0,0,0,0,0,rural_disperso
Mujeres,35-39 anios,3,55,0,3,0,2,0,0,0,0,0,1,0,0,rural_disperso
Mujeres,40-44 anios,8,50,0,8,0,4,0,1,0,0,0,0,3,0,rural_disperso
Mujeres,45-49 anios,7,41,1,7,0,6,0,1,0,0,0,0,0,0,rural_disperso
Mujeres,50-54 anios,6,51,1,6,0,5,0,1,0,0,0,0,0,0,rural_disperso
Mujeres,55-59 anios,8,33,0,8,0,6,0,0,0,0,0,2,0,0,rural_disperso
Mujeres,60-64 anios,4,44,0,4,0,3,0,1,0,0,0,0,0,0,rural_disperso
Mujeres,65-69 anios,7,27,0,7,0,4,1,2,0,0,0,0,0,0,rural_disperso
Mujeres,70-74 anios,2,23,0,2,0,2,0,0,0,0,0,0,0,0,rural_disperso
Mujeres,75-79 anios,3,8,0,3,0,3,0,0,0,0,0,0,0,0,rural_disperso
Mujeres,80-84 anios,0,3,0,0,0,0,0,0,0,0,0,0,0,0,rural_disperso
Mujeres,85 anios y mas,1,3,0,1,0,1,0,0,0,0,0,0,0,0,rural_disperso
